X,Y,Z,areas,ax1s,ax2s,bat_ids,gyrations,types,volumes,type 2
9.3,0.4,6.9,122.94,10.6774,0.2294,#7301,2.6411,IfcWallStandardCase,11.514,W1
1.195,0.295,5.05,10.7621,23.4751,0.6294,#9242,0.2885,IfcWallStandardCase,0.4584,G
1.1975,0.295,6.65,14.2829,23.3677,0.4732,#9308,0.2893,IfcWallStandardCase,0.6112,G
0.295,1.095,5.6,10.862,23.6576,0.5659,#9341,0.2598,IfcWallStandardCase,0.4591,G
1.1025,0.295,5.6,10.9445,23.6391,0.5658,#9374,0.262,IfcWallStandardCase,0.463,G
1.2025,0.295,5.95,12.8117,23.3955,0.5308,#9407,0.2907,IfcWallStandardCase,0.5476,G
11.065,0.295,7.05,146.1195,21.6557,0.4695,#9440,3.168,IfcWallStandardCase,6.7474,W1
11.8998,0.295,1.65,36.4279,22.6029,2.0957,#9498,3.3776,IfcWallStandardCase,1.6116,G
9.8975,0.295,1.65,30.2408,22.6382,2.0957,#12667,2.7996,IfcWallStandardCase,1.3358,G
2.51,0.295,1.65,7.4134,23.2977,2.0974,#12700,0.6674,IfcWallStandardCase,0.3182,G
9.095,0.295,1.65,27.7611,22.6568,2.0958,#14646,2.5679,IfcWallStandardCase,1.2253,G
1.1975,0.295,4.7,10.022,23.5021,0.6783,#14679,0.2893,IfcWallStandardCase,0.4264,G
5.5469,0.295,1.65,16.7974,22.806,2.096,#16281,1.5438,IfcWallStandardCase,0.7365,G
2.5,0.295,1.65,7.3825,23.3015,2.0974,#17069,0.6645,IfcWallStandardCase,0.3168,G
0.3,0.4,4.7,2.74,30.4444,0.7172,#17152,0.0645,IfcWallStandardCase,0.09,G
1.2,0.4,4.7,11.2,12.4444,0.3271,#17203,0.2944,IfcWallStandardCase,0.9,G
1.2,0.295,4.7,10.045,23.4971,0.6783,#17236,0.29,IfcWallStandardCase,0.4275,G
1.185,0.295,4.7,9.9072,23.5275,0.6784,#20101,0.2857,IfcWallStandardCase,0.4211,G
4.5651,0.295,1.65,13.7636,22.8901,2.0961,#20134,1.2604,IfcWallStandardCase,0.6013,G
4.5497,0.295,1.65,13.7161,22.8917,2.0961,#21466,1.2559,IfcWallStandardCase,0.5992,G
1.2,0.4,4.7,11.2001,12.4444,0.3271,#22869,0.2944,IfcWallStandardCase,0.9,G
4.1475,0.295,1.65,12.4733,22.9386,2.0963,#24201,1.1399,IfcWallStandardCase,0.5438,G
4.1475,0.295,1.65,12.4732,22.9386,2.0963,#24234,1.1399,IfcWallStandardCase,0.5438,G
0.295,10.8998,1.65,33.338,22.6189,2.0957,#26936,3.0889,IfcWallStandardCase,1.4739,G
0.295,6.5,1.65,19.7425,22.7494,2.0959,#29121,1.8189,IfcWallStandardCase,0.8678,G
0.295,8.1175,1.65,24.7406,22.6845,2.0958,#31065,2.2857,IfcWallStandardCase,1.0906,G
0.295,5.025,1.65,15.1847,22.8464,2.0961,#31098,1.3931,IfcWallStandardCase,0.6646,G
0.295,1.2,4.7,10.0449,23.4971,0.6783,#31197,0.29,IfcWallStandardCase,0.4275,G
0.295,1.1825,4.7,9.8842,23.5327,0.6784,#31230,0.2849,IfcWallStandardCase,0.42,G
0.295,1.2025,4.7,10.0677,23.4921,0.6783,#31265,0.2907,IfcWallStandardCase,0.4286,G
0.295,5.0725,1.65,15.3316,22.8424,2.096,#31298,1.4068,IfcWallStandardCase,0.6712,G
14.3825,0.295,5.5,147.558,21.7033,0.6111,#31331,4.1545,IfcWallStandardCase,6.7989,W1
0.295,8,5.7,88.327,21.6727,0.5525,#31387,2.2518,IfcWallStandardCase,4.0755,G
0.295,1.3,5.6,13.115,23.2412,0.5648,#31497,0.3187,IfcWallStandardCase,0.5643,G
4.33,0.295,5.6,41.0736,22.4693,0.6375,#31530,1.1653,IfcWallStandardCase,1.828,D1W1
37.7,0.35,0.9,63.96,16.2438,2.7493,#72511,10.8254,IfcWallStandardCase,3.9375,G
37.77,0.295,1.6,112.6004,22.5344,2.1705,#72592,10.8456,IfcWallStandardCase,4.9968,G
37.69,0.295,0.8,52.2251,24.4393,5.0645,#82140,10.8225,IfcWallStandardCase,2.1369,G
37.595,0.295,0.8,52.0931,24.4394,5.0645,#108288,10.795,IfcWallStandardCase,2.1315,G
37.77,0.295,0.9,59.8693,23.963,4.341,#119871,10.8456,IfcWallStandardCase,2.4984,G
2.7,0.4,5.2,28,11.2,0.2896,#163740,0.724,IfcWallStandardCase,2.5,G
3.1,0.4,5.2,32.16,11.0897,0.2894,#163773,0.8391,IfcWallStandardCase,2.9,G
5.9,0.4,5.2,61.28,10.7509,0.2889,#163862,1.6465,IfcWallStandardCase,5.7,G
3,0.4,5.2,31.12,11.1143,0.2894,#163895,0.8103,IfcWallStandardCase,2.8,G
2.8,0.4,5.2,29.04,11.1692,0.2895,#163928,0.7528,IfcWallStandardCase,2.6,G
0.4,5.7,5.2,59.2,10.7636,0.2889,#164015,1.5888,IfcWallStandardCase,5.5,G
0.4,11.5,5.2,119.52,10.577,0.2887,#164048,3.2625,IfcWallStandardCase,11.3,G
3,0.4,5.2,25.36,11.7844,0.4073,#164081,0.8765,IfcWallStandardCase,2.152,D1
2.8,0.4,4.9,27.36,11.1948,0.308,#164114,0.7528,IfcWallStandardCase,2.444,G
0.4,4,5.05,40.32,10.9387,0.298,#164393,1.0985,IfcWallStandardCase,3.686,G
0.4,5.9,5.2,61.28,10.7509,0.2889,#164426,1.6465,IfcWallStandardCase,5.7,G
0.4,6.7,5.2,69.6,10.7077,0.2888,#164459,1.8773,IfcWallStandardCase,6.5,G
0.295,1.095,5.5,10.6641,23.6646,0.5766,#166776,0.2598,IfcWallStandardCase,0.4506,G
0.325,0.3,4.7,2.05,36.4444,0.8215,#166884,0.0462,IfcWallStandardCase,0.0563,G
0.325,0.3,4.7,2.0499,36.447,0.8216,#166940,0.0462,IfcWallStandardCase,0.0562,G
0.4,1.2001,4.7,11.2012,12.4442,0.3271,#166994,0.2944,IfcWallStandardCase,0.9001,G
0.325,0.3,4.7,2.05,36.4445,0.8215,#167044,0.0462,IfcWallStandardCase,0.0562,G
0.298,0.325,4.7,2.0315,36.8526,0.8318,#167094,0.0459,IfcWallStandardCase,0.0551,G
0.3015,0.325,4.7,2.0639,36.1489,0.8141,#167127,0.0465,IfcWallStandardCase,0.0571,G
1.185,0.4,4.7,11.059,12.4749,0.3273,#167227,0.2901,IfcWallStandardCase,0.8865,G
0.3005,0.325,4.7,2.0546,36.345,0.819,#167327,0.0463,IfcWallStandardCase,0.0565,G
0.3004,0.325,5,2.1887,36.3427,0.7684,#167410,0.0463,IfcWallStandardCase,0.0602,G
0.4,0.3,4.7,2.74,30.4444,0.7172,#167510,0.0645,IfcWallStandardCase,0.09,G
0.4,1.25,4.7,11.67,12.3492,0.3265,#167560,0.3086,IfcWallStandardCase,0.945,G
0.295,28.395,0.8,39.305,24.4569,5.0645,#167943,8.1392,IfcWallStandardCase,1.6071,G
0.295,28.38,1.6,84.5242,22.5522,2.1705,#167976,8.1349,IfcWallStandardCase,3.7479,G
0.295,0.565,2.3,2.0013,27.4845,1.4952,#168009,0.1089,IfcWallStandardCase,0.0728,G
0.295,34.895,0.8,48.3401,24.4436,5.0645,#178650,10.0156,IfcWallStandardCase,1.9776,G
0.295,34.895,1.6,104.0042,22.5388,2.1705,#178683,10.0156,IfcWallStandardCase,4.6144,G
0.295,34.88,0.8,48.3192,24.4436,5.0645,#188615,10.0113,IfcWallStandardCase,1.9768,G
0.295,34.88,1.6,103.9593,22.5389,2.1705,#188648,10.0113,IfcWallStandardCase,4.6124,G
0.295,34.975,1.6,104.2434,22.5387,2.1705,#218677,10.0387,IfcWallStandardCase,4.6251,G
0.295,0.885,2.7,4.03,24.7725,1.2271,#218710,0.1996,IfcWallStandardCase,0.1627,G
0.295,34.975,1.3,83.3213,22.9283,2.7625,#218743,10.0387,IfcWallStandardCase,3.634,G
0.295,34.975,3,201.8795,21.8244,1.0852,#218776,10.0387,IfcWallStandardCase,9.2502,G
0.295,35,1.6,104.3181,22.5387,2.1705,#235838,10.0459,IfcWallStandardCase,4.6284,G
37.675,0.295,1.6,112.3163,22.5346,2.1705,#254443,10.8181,IfcWallStandardCase,4.9842,G
37.675,0.295,3,217.5124,21.8203,1.0852,#263496,10.8181,IfcWallStandardCase,9.9684,G
37.595,0.295,2.4496,175.7832,21.9951,1.3507,#272276,10.795,IfcWallStandardCase,7.9919,G
10.9,0.35,5.7,116.87,14.0511,0.3759,#272309,3.127,IfcWallStandardCase,8.3175,W1
9.3,0.32,5.2,88.472,17.5123,0.5234,#272378,2.644,IfcWallStandardCase,5.052,W1
0.295,28.38,1.45,76.0417,22.7236,2.431,#278944,8.1349,IfcWallStandardCase,3.3464,G
0.295,0.565,2.7,2.3693,27.3321,1.256,#278977,0.1089,IfcWallStandardCase,0.0867,G
0.295,28.395,1.3,67.595,22.9417,2.7625,#285369,8.1392,IfcWallStandardCase,2.9464,G
0.295,28.38,3,163.6942,21.8379,1.0853,#285402,8.1349,IfcWallStandardCase,7.4959,G
0.35,2.47,5.7,27.301,14.578,0.3507,#285468,0.6567,IfcWallStandardCase,1.8728,G
9.3,0.32,4.55,76.486,17.6146,0.6093,#285618,2.6455,IfcWallStandardCase,4.3422,W1
9.3,0.32,4.3,71.876,17.6634,0.6503,#285708,2.6461,IfcWallStandardCase,4.0692,W1
9.298,0.32,4.3,71.8591,17.6635,0.6503,#285798,2.6455,IfcWallStandardCase,4.0682,W1
1.095,0.295,2.8444,5.406,24.0436,1.1556,#286149,0.2598,IfcWallStandardCase,0.2248,G
0.325,0.3,4.7,2.05,36.4444,0.8215,#289025,0.0462,IfcWallStandardCase,0.0562,G
0.325,0.298,4.7,2.0315,36.8526,0.8318,#289125,0.0459,IfcWallStandardCase,0.0551,G
1.0875,0.295,5.5,10.5831,23.6835,0.5766,#292381,0.2577,IfcWallStandardCase,0.4469,G
1.515,0.295,1.65,4.3388,23.9529,2.1011,#292414,0.3806,IfcWallStandardCase,0.1811,G
2.5,0.35,5.75,27.8849,14.5633,0.3475,#292447,0.6654,IfcWallStandardCase,1.9147,G
0.3,0.4,5.45,3.19,30.381,0.6148,#293208,0.0645,IfcWallStandardCase,0.105,G
1.515,0.295,1.75,4.6208,23.8639,1.9656,#293241,0.3806,IfcWallStandardCase,0.1936,G
0.3,0.3,5,1.94,40.4167,0.8505,#293616,0.0408,IfcWallStandardCase,0.048,G
0.4,12.7825,4.8,119.272,10.6914,0.331,#294163,3.6926,IfcWallStandardCase,11.1559,D1
10.7,0.4,4.8,102.64,10.6253,0.3138,#294196,3.0316,IfcWallStandardCase,9.66,G
8.1,0.4,4.8,77.6801,10.6879,0.3139,#294229,2.2813,IfcWallStandardCase,7.268,G
0.4,5.7,4.8,54.64,10.7984,0.314,#294262,1.5888,IfcWallStandardCase,5.06,G
0.4,6.7,4.2,56.2,10.8077,0.361,#294295,1.8773,IfcWallStandardCase,5.2,G
2.8,0.4,4.2,23.44,11.2692,0.3619,#294328,0.7528,IfcWallStandardCase,2.08,G
0.4,7.1,4.8,68.08,10.7246,0.3139,#294361,1.9927,IfcWallStandardCase,6.348,G
2.8,0.4,4.2,23.4399,11.2692,0.3619,#294394,0.7528,IfcWallStandardCase,2.08,G
0.295,13.0425,4.75,120.1713,21.6479,0.6679,#294427,3.7074,IfcWallStandardCase,5.5512,G
11.3525,0.295,4.75,104.4713,21.6715,0.6679,#294493,3.2196,IfcWallStandardCase,4.8207,G
0.295,7.37,4.75,67.4737,21.7711,0.6679,#294526,2.07,IfcWallStandardCase,3.0992,G
0.295,5.395,4.75,49.1261,21.8772,0.668,#294559,1.4999,IfcWallStandardCase,2.2455,G
8.075,0.295,4.75,74.0234,21.7462,0.6679,#294592,2.2735,IfcWallStandardCase,3.404,G
