X,Y,Z,areas,ax1s,ax2s,bat_ids,gyrations,types,volumes,type 2
0.55,5.75,3.4,41.645,6.6996,0.2583,#174384,1.6053,IfcWallStandardCase,6.216,G
5.2,0.4,3.4,35.28,11.025,0.4514,#174570,1.4445,IfcWallStandardCase,3.2,G
5.8,0.4,3.4,39.36,10.9821,0.4513,#174632,1.6176,IfcWallStandardCase,3.584,G
5.8,0.4,3.4,36.63,11.3511,0.5227,#174756,1.6869,IfcWallStandardCase,3.227,D1
8,0.4,3.4,48.32,11.407,0.4861,#174880,2.059,IfcWallStandardCase,4.236,D1
8,0.4,3.4,46,11.3412,0.4822,#174942,1.9558,IfcWallStandardCase,4.056,D1
0.4,2.3,3.4,12.83,12.999,0.6131,#175004,0.6051,IfcWallStandardCase,0.987,D1
2.1,0.4,3.4,11.47,13.3527,0.6808,#175066,0.5848,IfcWallStandardCase,0.859,D1
0.4,2.4093,3.4,16.3034,11.5303,0.4529,#175128,0.6404,IfcWallStandardCase,1.414,G
0.6,0.3,3.4,3.28,25.625,0.9299,#175190,0.119,IfcWallStandardCase,0.128,G
0.3,4.6,3.4,29.68,21.0795,0.9023,#175276,1.2705,IfcWallStandardCase,1.408,G
0.7,0.3,3.4,3.942,24.9652,0.9303,#175338,0.1469,IfcWallStandardCase,0.1579,G
0.3,2.5,3.4,15.82,21.4946,0.903,#175425,0.6646,IfcWallStandardCase,0.736,G
0.7,0.3,3.4,3.94,24.625,0.92,#175487,0.1472,IfcWallStandardCase,0.16,G
0.4,1.75,3.4,9.09,14.315,0.8068,#175549,0.5123,IfcWallStandardCase,0.635,D1
0.3,1.3,3.4,7.9,22.4432,0.9058,#175611,0.3189,IfcWallStandardCase,0.352,G
0.4,2.05,3.4,13.86,11.7061,0.4537,#175673,0.5372,IfcWallStandardCase,1.184,G
0.7,0.3,3.4,3.93,27.2917,0.9558,#175748,0.1376,IfcWallStandardCase,0.144,G
0.3,1.2,3.4,7.24,22.625,0.9066,#175885,0.2901,IfcWallStandardCase,0.32,G
0.4,1.7,3.4,8.75,14.5108,0.8021,#175947,0.4837,IfcWallStandardCase,0.603,D1
0.3,5.05,3.4,32.65,21.0374,0.9023,#176071,1.4004,IfcWallStandardCase,1.552,G
