X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes,type 2
0.23,4.57,3.31,23.692,68.3119,3.31,#401209,29nXb4Icz0x9FZuoscAuhe,1.148,IfcWallStandardCase,0.3468,D1
0.226,4.8,3.31,25.3331,78.4692,3.9474,#401451,29nXb4Icz0x9FZuoscAurX,1.2744,IfcWallStandardCase,0.3228,D1
1.574,0.226,3.31,5.0997,82.2692,7.3651,#401507,29nXb4Icz0x9FZuoscAurW,0.4565,IfcWallStandardCase,0.062,D1
0.226,11.477,3.31,67.2113,77.9041,3.842,#401563,29nXb4Icz0x9FZuoscAurd,3.3147,IfcWallStandardCase,0.8627,D1
0.22,2.26,3.31,9.1196,103.2423,6.6312,#401747,29nXb4Icz0x9FZuoscAuri,0.5858,IfcWallStandardCase,0.0883,D1
3.202,0.202,3.31,12.4434,1002.5301,80.309,#402200,29nXb4Icz0x9FZuoscAumr,0.9968,IfcWallStandardCase,0.0124,D1
0.4,5.9,4.55,50.25,11.0707,0.3443,#405068,1gw_kUMQz9pu5tx9zrQy8X,1.5626,IfcWallStandardCase,4.539,D1
0.4,11.5,4.55,101.21,10.7544,0.3517,#405101,1gw_kUMQz9pu5tx9zrQy8Y,3.31,IfcWallStandardCase,9.411,D1
3,0.4,4.55,21.46,12.0022,0.4973,#405134,1gw_kUMQz9pu5tx9zrQy8Z,0.8892,IfcWallStandardCase,1.788,D1
0.4,5.9,4.15,45.53,11.1511,0.3799,#405791,0Jr0dLCeXAp9NjIBzfJQSE,1.5513,IfcWallStandardCase,4.083,D1
0.4,11.5,4.15,92.01,10.8158,0.3897,#405824,0Jr0dLCeXAp9NjIBzfJQSD,3.3148,IfcWallStandardCase,8.507,D1
3,0.4,4.15,19.06,12.1867,0.5753,#405857,0Jr0dLCeXAp9NjIBzfJQSC,0.8998,IfcWallStandardCase,1.564,D1
0.4,5.9,6,67.76,10.9432,0.2565,#406639,0MWwVUe95E0gt9umXVI3w9,1.5881,IfcWallStandardCase,6.192,D1
0.4,5.7,5.05,54.13,11.0132,0.3088,#411856,0h6oHVzXr4lhHoilUl8cNL,1.5178,IfcWallStandardCase,4.915,D1
0.4,11.3,5.05,110.69,10.6978,0.314,#411889,0h6oHVzXr4lhHoilUl8cNI,3.2488,IfcWallStandardCase,10.347,D1
4.94,0.282,4.2,35.9178,25.6603,1.0285,#529285,0PKFff$hT97vUgbUYisajG,1.4396,IfcWallStandardCase,1.3997,D1
2.6,0.4,3.65,18.9,11.413,0.4198,#4194,1n1tOwV7DFTvYHk4QEqaxi,0.6952,IfcWallStandardCase,1.656,G
10,0.4,5.3,105.84,10.8088,0.2919,#4227,1n1tOwV7DFTvYHk4QEqaye,2.8586,IfcWallStandardCase,9.792,G
0.4,3.2,5.15,32.88,11.0707,0.2922,#4281,1n1tOwV7DFTvYHk4QEqa$p,0.8679,IfcWallStandardCase,2.97,G
0.7,3.5,4.7,37.5,5.0505,0.1298,#4314,1n1tOwV7DFTvYHk4QEqZ5a,0.9635,IfcWallStandardCase,7.425,G
0.7,7.1,5.3,82.38,4.682,0.1135,#4347,1n1tOwV7DFTvYHk4QEqZ65,1.9971,IfcWallStandardCase,17.595,G
0.6,6.45,3.2,44.9,5.9867,0.2411,#4380,1n1tOwV7DFTvYHk4QEqZFD,1.8079,IfcWallStandardCase,7.5,G
0.6,4.6,3.8,38.08,6.0101,0.2013,#4419,1n1tOwV7DFTvYHk4QEqZGu,1.2754,IfcWallStandardCase,6.336,G
2.7,0.55,3.2,18.85,7.181,0.2776,#4452,1n1tOwV7DFTvYHk4QEqZLd,0.7287,IfcWallStandardCase,2.625,G
7.1,0.55,3.2,48.33,6.6708,0.2753,#4491,1n1tOwV7DFTvYHk4QEqZNF,1.9944,IfcWallStandardCase,7.245,G
7.1,0.55,3.1,46.88,6.6938,0.2848,#4524,1n1tOwV7DFTvYHk4QEqZPD,1.9944,IfcWallStandardCase,7.0035,G
4.7,0.55,3.1,31.28,6.8484,0.2853,#4557,1n1tOwV7DFTvYHk4QEqZRP,1.303,IfcWallStandardCase,4.5675,G
0.6,4.6009,3.2,32.3259,6.1211,0.2416,#4590,1n1tOwV7DFTvYHk4QEqZVo,1.2757,IfcWallStandardCase,5.281,G
0.6,6.5,3.2,45.24,5.9841,0.241,#4623,1n1tOwV7DFTvYHk4QEqZW0,1.8223,IfcWallStandardCase,7.56,G
0.6,4.4,3.2,30.96,6.1429,0.2417,#4656,1n1tOwV7DFTvYHk4QEqZYQ,1.2179,IfcWallStandardCase,5.04,G
0.7,2.4,4.7,26.5,5.3535,0.1316,#4689,1n1tOwV7DFTvYHk4QEqZc1,0.6513,IfcWallStandardCase,4.95,G
0.4,4.1,3.8,31.08,11.0684,0.4015,#4722,1n1tOwV7DFTvYHk4QEqZjK,1.1273,IfcWallStandardCase,2.808,G
4.5,0.5,3.8,35.7,7.6873,0.2679,#4755,1n1tOwV7DFTvYHk4QEqZkT,1.2443,IfcWallStandardCase,4.644,G
1.05,0.5,3.65,8.445,9.5993,0.2958,#5568,1n1tOwV7DFTvYHk4QEqYG1,0.2602,IfcWallStandardCase,0.8797,G
4.4493,4.7975,3.48,48.1611,5.102,0.1774,#8067,1n1tOwV7DFTvYHk4QEqYwB,1.6742,IfcWallStandardCase,9.4396,G
6.7817,0.45,3,41.097,9.0795,0.4128,#8107,1n1tOwV7DFTvYHk4QEqYwD,1.8686,IfcWallStandardCase,4.5263,G
7.2,0.45,3,44.1,9,0.4127,#8146,1n1tOwV7DFTvYHk4QEqYwF,2.022,IfcWallStandardCase,4.9,G
4.7,0.45,3,28.85,9.1587,0.413,#8179,1n1tOwV7DFTvYHk4QEqYw1,1.301,IfcWallStandardCase,3.15,G
0.45,5.1738,3,31.2467,9.2254,0.4133,#8231,1n1tOwV7DFTvYHk4QEqYw3,1.3997,IfcWallStandardCase,3.387,G
0.45,3.5,3,21.53,9.3203,0.4136,#8264,1n1tOwV7DFTvYHk4QEqYw5,0.9554,IfcWallStandardCase,2.31,G
0.7,7,3.45,54.25,4.9095,0.1781,#8297,1n1tOwV7DFTvYHk4QEqYw7,1.9683,IfcWallStandardCase,11.05,G
0.45,6.45,3.1,40.825,9.0097,0.3985,#8330,1n1tOwV7DFTvYHk4QEqYwP,1.8057,IfcWallStandardCase,4.5312,G
0.6,4.6,4,40,5.9809,0.1907,#8363,1n1tOwV7DFTvYHk4QEqYwR,1.2754,IfcWallStandardCase,6.688,G
2.7,0.45,3.45,19.125,9.4154,0.3571,#8396,1n1tOwV7DFTvYHk4QEqYwT,0.7253,IfcWallStandardCase,2.0312,G
5.53,0.45,3.4,38.377,9.0002,0.3612,#8429,1n1tOwV7DFTvYHk4QEqYwV,1.5403,IfcWallStandardCase,4.264,G
7.1,0.45,3.4,49.21,8.9149,0.3611,#8462,1n1tOwV7DFTvYHk4QEqYwH,1.9932,IfcWallStandardCase,5.52,G
4.7,0.45,3.1,29.8,9.1341,0.3988,#8495,1n1tOwV7DFTvYHk4QEqYwJ,1.301,IfcWallStandardCase,3.2625,G
0.45,4.6009,3,28.2453,9.1687,0.4131,#8528,1n1tOwV7DFTvYHk4QEqYwL,1.2725,IfcWallStandardCase,3.0806,G
0.45,6.5,3,39.83,9.0317,0.4127,#8561,1n1tOwV7DFTvYHk4QEqYwN,1.8201,IfcWallStandardCase,4.41,G
0.45,4.4,3.45,31.025,9.0916,0.3559,#8594,1n1tOwV7DFTvYHk4QEqYzf,1.2146,IfcWallStandardCase,3.4125,G
0.45,2.5,3,15.43,9.5839,0.4148,#8627,1n1tOwV7DFTvYHk4QEqYzh,0.6679,IfcWallStandardCase,1.61,G
0.4,3.6,5.15,37,10.9923,0.2921,#9078,10fPks3MLBnBpjOOBthRh9,0.9832,IfcWallStandardCase,3.366,G
2.6898,0.4,3.28,12.888,13.9178,0.8436,#39727,2Zb3p5HPz8nfS$ptjX8tp7,0.7812,IfcWallStandardCase,0.926,W1
2.6,0.4,3.28,12.376,14.0893,0.861,#39847,2MbOa7W$T38fBQ_pycxkyx,0.7563,IfcWallStandardCase,0.8784,W1
2.6898,0.4,3.28,12.9653,13.8854,0.8402,#39934,2MbOa7W$T38fBQ_pycxk$P,0.7845,IfcWallStandardCase,0.9337,W1
2.6898,0.4,3.33,13.2342,13.8054,0.8169,#40108,2MbOa7W$T38fBQ_pycxknr,0.7831,IfcWallStandardCase,0.9586,W1
2.6898,0.22,2.7,6.7887,105.2657,12.3873,#76155,35YGX0kvH4tBLlUh8nLB5D,0.7989,IfcWallStandardCase,0.0645,W1
0.22,1.33,2.7,4.2672,105.363,8.7325,#76482,2q$$2E9$P56AW7V3V5H3gS,0.3537,IfcWallStandardCase,0.0405,W1
