X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes,type 2
1,0.4,19.42,38.76,12.6041,0.0774,#178163,04yVcuklbCQvcOMspFJym_,0.238,IfcWallStandardCase,3.0752,G
0.55,8.5,3.52,60.958,6.871,0.2632,#494136,0ZqacWhpf1Hv5rQXjA6n0k,2.3349,IfcWallStandardCase,8.8718,W1
0.45,3.25,3.52,16.793,11.1046,0.5879,#496259,24$sCAY4D9mOhiS27XZ_Ar,0.889,IfcWallStandardCase,1.5122,W1
0.45,4.25,3.52,21.777,10.8262,0.5869,#496321,24$sCAY4D9mOhiS27XZ_Ap,1.1806,IfcWallStandardCase,2.0115,W1
0.45,4.315,3.52,22.2436,10.7674,0.5857,#496383,24$sCAY4D9mOhiS27XZ_An,1.2099,IfcWallStandardCase,2.0658,W1
0.45,4.35,3.52,23.1661,11.0604,0.5857,#496507,24$sCAY4D9mOhiS27XZ_Az,1.2269,IfcWallStandardCase,2.0945,W1
4.25,0.45,3.52,24.1244,10.7171,0.5442,#497375,24$sCAY4D9mOhiS27XZ_AV,1.225,IfcWallStandardCase,2.251,W1
0.45,4.4825,3.52,23.4395,10.6309,0.5797,#540860,1jU$ARE_5CaBZPX1SpKnYU,1.2781,IfcWallStandardCase,2.2049,W1
0.45,4.45,3.52,23.8801,10.9667,0.5828,#543321,3tC4u1CvvAkBDugOhg1Ntm,1.2691,IfcWallStandardCase,2.1775,W1
0.45,4.565,3.52,24.7012,10.8674,0.5809,#556765,1EKo5JN9L5NvshFXOn1pp4,1.3205,IfcWallStandardCase,2.273,W1
0.45,4.7325,3.52,25.8971,10.7369,0.5753,#994878,3UjDsVYoTFf8tNAXgzpowx,1.3877,IfcWallStandardCase,2.412,W1
0.55,2.4,4.36,20.468,8.4217,0.2741,#1158008,1_Vrvmihj4qeIUiY13_W3N,0.6662,IfcWallStandardCase,2.4304,W1
0.55,2.45,4.36,20.919,8.3569,0.2722,#1158655,1_Vrvmihj4qeIUiY13_W33,0.6813,IfcWallStandardCase,2.5032,W1
4.2,0.535,4.36,36.9562,7.4338,0.2363,#1159539,1_Vrvmihj4qeIUiY13_W1i,1.1746,IfcWallStandardCase,4.9714,W1
0.45,3.25,4.36,22.337,10.376,0.4122,#1173030,1_Vrvmihj4qeIUiY13_WNg,0.8874,IfcWallStandardCase,2.1527,W1
0.45,4.25,4.36,29.001,10.1331,0.4116,#1173092,1_Vrvmihj4qeIUiY13_WNe,1.1779,IfcWallStandardCase,2.862,W1
0.45,4.315,4.36,29.5768,10.0945,0.411,#1173154,1_Vrvmihj4qeIUiY13_WNc,1.2042,IfcWallStandardCase,2.93,W1
0.45,4.35,4.36,30.5581,10.3028,0.411,#1173278,1_Vrvmihj4qeIUiY13_WNY,1.2191,IfcWallStandardCase,2.966,W1
4.25,0.45,4.36,31.3484,10.1074,0.3903,#1174146,1_Vrvmihj4qeIUiY13_WK4,1.2106,IfcWallStandardCase,3.1015,W1
0.45,4.4825,4.36,31.0541,10.004,0.4083,#1215131,1_Vrvmihj4qeIUiY13_Wga,1.2673,IfcWallStandardCase,3.1042,W1
0.45,4.45,4.36,31.4401,10.241,0.4097,#1216794,1_Vrvmihj4qeIUiY13_Wh8,1.2578,IfcWallStandardCase,3.07,W1
0.45,4.565,4.36,32.4544,10.175,0.4088,#1217426,1_Vrvmihj4qeIUiY13_Whz,1.304,IfcWallStandardCase,3.1896,W1
8,0.4,4.36,65.528,11.0339,0.3657,#1221312,1_Vrvmihj4qeIUiY13_Woj,2.1718,IfcWallStandardCase,5.9388,W1
7.95,0.4,4.36,65.092,11.0378,0.3654,#1223504,1_Vrvmihj4qeIUiY13_Wpm,2.1548,IfcWallStandardCase,5.8972,W1
0.4,2.1,4.36,15.032,13.1952,0.4899,#1225218,1_Vrvmihj4qeIUiY13_WmH,0.558,IfcWallStandardCase,1.1392,W1
0.35,2.1,4.36,14.122,16.5286,0.6516,#1244421,2Ry_DYcljDzBfNo3rcNqDA,0.5567,IfcWallStandardCase,0.8544,W1
0.4,1.8,3.4,9.39,15.024,0.8724,#166956,0uU8hD1E9Bp8u1ekcFsVEo,0.5452,IfcWallStandardCase,0.625,D1
0.4,5.75,3.4,36.2901,11.3584,0.4919,#170268,2v99NL2sf6qBDgL4Hvx7xS,1.5716,IfcWallStandardCase,3.195,D1
0.4,4.75,3.4,29.49,11.5421,0.4696,#170392,2v99NL2sf6qBDgL4Hvx7v3,1.1998,IfcWallStandardCase,2.555,D1
0.4,2.3,3.4,9.56,16.2585,1.1891,#170640,2v99NL2sf6qBDgL4Hvx70U,0.6992,IfcWallStandardCase,0.588,D1
4.15,0.4,3.4,25.41,11.7043,0.552,#170764,2v99NL2sf6qBDgL4Hvx77o,1.1984,IfcWallStandardCase,2.171,D1
4.2,0.4,3.4,25.75,11.6886,0.4759,#170826,2v99NL2sf6qBDgL4Hvx75I,1.0485,IfcWallStandardCase,2.203,D1
4.2,0.4,3.4,22.48,12.4612,0.7085,#170888,2v99NL2sf6qBDgL4Hvx7AQ,1.2781,IfcWallStandardCase,1.804,D1
4.15,0.4,3.4,25.41,11.7043,0.5502,#170950,2v99NL2sf6qBDgL4Hvx7Bm,1.1944,IfcWallStandardCase,2.171,D1
4.2,0.4,3.4,25.75,11.6886,0.548,#171012,2v99NL2sf6qBDgL4Hvx7B_,1.2071,IfcWallStandardCase,2.203,D1
4.15,0.4,3.4,25.41,11.7043,0.5276,#171384,2v99NL2sf6qBDgL4Hvx79V,1.1455,IfcWallStandardCase,2.171,D1
4.2,0.4,3.4,25.75,11.6886,0.5193,#171446,2v99NL2sf6qBDgL4Hvx79T,1.1441,IfcWallStandardCase,2.203,D1
4.2,0.4,3.4,25.75,11.6886,0.5486,#171632,2v99NL2sf6qBDgL4Hvx797,1.2085,IfcWallStandardCase,2.203,D1
0.4,5.85,3.4,36.97,11.344,0.5146,#171756,2v99NL2sf6qBDgL4Hvx7Fg,1.6771,IfcWallStandardCase,3.259,D1
0.4,5.75,3.4,36.2901,11.3584,0.514,#171818,2v99NL2sf6qBDgL4Hvx7IY,1.6423,IfcWallStandardCase,3.195,D1
