,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
384,0.4,3.0,4.8,26.8,11.7133,0.3704,#37821,12XGzQk2TAcfzfpDaKyDYE,0.8474,IfcWallStandardCase,2.288
385,0.4,2.6,2.1,10.84,11.886,0.7623,#37887,12XGzQk2TAcfzfpDaKyDYA,0.6952,IfcWallStandardCase,0.912
386,5.3,0.4,4.8,50.08,11.0114,0.3272,#37920,12XGzQk2TAcfzfpDaKyDd6,1.4882,IfcWallStandardCase,4.548
387,5.7,0.4,0.8,9.04,13.697,2.4072,#37954,1GedlLHnT2CuXVS1DiaNgs,1.5888,IfcWallStandardCase,0.66
388,0.4,9.2,0.8,14.64,13.5556,2.4062,#37987,1GedlLHnT2CuXVS1DiaNgm,2.5987,IfcWallStandardCase,1.08
389,5.3,0.4,0.8,8.4,13.7255,2.4075,#38053,1GedlLHnT2CuXVS1DiaNgy,1.4734,IfcWallStandardCase,0.612
390,0.4,4.5,1.05,9.37,12.8181,1.6999,#38231,1GedlLHnT2CuXVS1DiaMfm,1.2426,IfcWallStandardCase,0.731
391,0.4,6.5,1.05,13.57,12.6704,1.6989,#38264,1GedlLHnT2CuXVS1DiaMk0,1.8196,IfcWallStandardCase,1.071
392,0.4,0.6,2.4,2.8,15.9091,0.7335,#38297,1GedlLHnT2CuXVS1DiafPA,0.1291,IfcWallStandardCase,0.176
393,0.4,5.2,2.4,24.88,11.3091,0.6566,#38330,1GedlLHnT2CuXVS1DiafV8,1.4445,IfcWallStandardCase,2.2
394,1.65,0.4,2.4,7.84,12.2884,0.6623,#38363,1GedlLHnT2CuXVS1DiafT_,0.4225,IfcWallStandardCase,0.638
395,1.45,0.4,2.4,6.88,12.5091,0.6644,#38396,1GedlLHnT2CuXVS1DiafJu,0.3654,IfcWallStandardCase,0.55
396,0.4,4.8,2.0,19.12,11.5459,0.8026,#38458,1GedlLHnT2CuXVS1DiafLW,1.3292,IfcWallStandardCase,1.656
