,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
454,0.3,4.45,3.4,28.6899,21.0956,0.9024,#190134,0EPIxetQ547wY9y5fC9EHb,1.2272,IfcWallStandardCase,1.36
455,0.4,8.55,3.4,49.87,11.671,0.5425,#190248,0EPIxetQ547wY9y5fC9Fls,2.3179,IfcWallStandardCase,4.273
456,5.63,0.4,3.4,38.204,10.9933,0.4514,#190305,0EPIxetQ547wY9y5fC9Fkf,1.5686,IfcWallStandardCase,3.4752
457,0.8,0.3,3.4,4.6,23.9583,0.9146,#190362,0EPIxetQ547wY9y5fC9FiW,0.1756,IfcWallStandardCase,0.192
458,0.3,7.3,3.4,47.5,20.9067,0.9022,#190419,0EPIxetQ547wY9y5fC9FhU,2.0498,IfcWallStandardCase,2.272
459,5.23,0.3,3.4,33.838,21.0226,0.9023,#190558,0EPIxetQ547wY9y5fC9FdS,1.4523,IfcWallStandardCase,1.6096
460,0.4,2.5,3.4,16.92,11.4946,0.4528,#190615,0EPIxetQ547wY9y5fC9Fcn,0.6665,IfcWallStandardCase,1.472
461,0.55,8.5,3.4,58.882,6.9084,0.2736,#190672,0EPIxetQ547wY9y5fC9FZH,2.3318,IfcWallStandardCase,8.5232
462,0.55,5.5,3.4,39.87,6.7166,0.2583,#190759,0EPIxetQ547wY9y5fC9FZV,1.5333,IfcWallStandardCase,5.936
463,0.45,4.4825,3.4,31.1492,9.092,0.3615,#190883,0EPIxetQ547wY9y5fC9FZR,1.2384,IfcWallStandardCase,3.426
464,1.87,0.535,3.4,13.9442,7.8359,0.2747,#191078,0EPIxetQ547wY9y5fC9FXr,0.4889,IfcWallStandardCase,1.7795
465,0.3,0.85,3.4,4.9299,23.702,0.9127,#191192,3ApOw5qHLBW8AfoK$V0Sg$,0.1898,IfcWallStandardCase,0.208
466,0.75,0.3,3.4,4.27,24.2614,0.9169,#191249,3ApOw5qHLBW8AfoK$V0ShO,0.1614,IfcWallStandardCase,0.176
467,0.7241,0.3,3.4,4.0989,24.4413,0.9184,#191306,3ApOw5qHLBW8AfoK$V0Sh$,0.154,IfcWallStandardCase,0.1677
468,0.3,0.75,3.4,4.2699,24.2614,0.9169,#191363,3ApOw5qHLBW8AfoK$V0SeP,0.1614,IfcWallStandardCase,0.176
469,2.1,0.3,3.4,13.18,21.6776,0.9034,#191477,3ApOw5qHLBW8AfoK$V0Sf$,0.5492,IfcWallStandardCase,0.608
