,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
758,1.2,0.4459,2.3,6.758,54.3974,2.7169,#312778,2Wpy_TkTr3YfnNZjgyAOKF,0.3375,IfcDoor,0.1242
759,1.95,0.3207,2.225,7.4549,109.881,7.4287,#313268,2Wpy_TkTr3YfnNZjgyAObJ,0.504,IfcDoor,0.0678
760,0.4501,0.8,2.3,5.3876,55.085,2.3087,#327811,0zGn3MUYHFPva2TY9tofcL,0.2258,IfcDoor,0.0978
761,2.0,0.465,2.0,9.1432,61.4359,4.1613,#425194,1R$9XlMC1C2BI$sNUDrve9,0.6193,IfcDoor,0.1488
762,1.95,0.3207,2.275,7.6333,109.8187,7.2515,#429974,0fLpF$UhfAsQIMWumURdWA,0.504,IfcDoor,0.0695
763,0.3207,1.95,2.275,7.6333,109.8187,7.2515,#430727,0fLpF$UhfAsQIMWumURaQs,0.504,IfcDoor,0.0695
764,1.1,0.4459,2.3,6.287,55.0459,2.6909,#531165,0PKFff$hT97vUgbUYisagT,0.3073,IfcDoor,0.1142
765,2.2,0.3,1.9,8.4179,81.2465,6.0523,#285573,0fJr$TBdv5Rxrp$0xBRemA,0.6271,IfcWindow,0.1036
766,1.2,0.4,1.8,6.12,63.3304,3.9194,#291985,2faKpLevX8Yh_0SGXzO27M,0.3788,IfcWindow,0.0966
767,1.0,0.4,1.4,4.108,58.7226,4.2665,#292345,2faKpLevX8Yh_0SGXzO2DI,0.2985,IfcWindow,0.07
768,2.2,0.3,2.0,8.8627,81.2962,5.756,#428896,1X8lBcuHv8De1sTGG3L$Kq,0.6275,IfcWindow,0.109
769,0.4,2.0,1.4,7.728,66.7611,5.4799,#531543,0PKFff$hT97vUgbUYisaRR,0.6343,IfcWindow,0.1158
770,0.4008,3.9542,4.3074,7.8717,76.61,10.6353,#533386,3u_aKVAQXBYOOsx_tJ5ATQ,1.0928,IfcRailing,0.1028
771,0.3508,2.9952,3.2,5.7641,76.5268,10.7432,#534366,0V7QDnkNHDt9ZMNWs33xWn,0.8092,IfcRailing,0.0753
772,0.3508,3.9633,4.2679,7.8523,76.8648,10.6645,#534687,0xUAsnmjDCIheVFMGLLzrC,1.0895,IfcRailing,0.1022
773,0.3508,3.6008,4.5,9.0165,76.039,7.6335,#537910,0qZPIOcafBQf2NGqEKv8Qa,0.9052,IfcRailing,0.1186
774,0.5064,4.0225,4.8706,10.593,76.3732,7.6293,#539582,0qZPIOcafBQf2NGqEKv9bX,1.0582,IfcRailing,0.1387
775,4.1,0.25,1.4,3.8017,77.6858,22.7689,#539654,3PXNsrAAT38exyyRyg7SsY,1.1143,IfcRailing,0.0489
