,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
0,2.2,0.3,1.9,8.4179,81.2465,6.0523,#285573,0fJr$TBdv5Rxrp$0xBRemA,0.6271,IfcWindow,0.1036
1,1.2,0.4,1.8,6.12,63.3304,3.9194,#291985,2faKpLevX8Yh_0SGXzO27M,0.3788,IfcWindow,0.0966
2,1.0,0.4,1.4,4.108,58.7226,4.2665,#292345,2faKpLevX8Yh_0SGXzO2DI,0.2985,IfcWindow,0.07
3,2.2,0.3,2.0,8.8627,81.2962,5.756,#428896,1X8lBcuHv8De1sTGG3L$Kq,0.6275,IfcWindow,0.109
4,0.4,2.0,1.4,7.728,66.7611,5.4799,#531543,0PKFff$hT97vUgbUYisaRR,0.6343,IfcWindow,0.1158
